"filename", "language", "Markdown", "Python", "HTML", "XML", "JavaScript", "CSS", "Log", "JSON", "comment", "blank", "total"
"/home/ali4mini/__Projects__/amlak/file/migrations/0014_alter_rent_owner_name_alter_rent_owner_phone_and_more.py", "Python", 0, 32, 0, 0, 0, 0, 0, 0, 1, 6, 39
"/home/ali4mini/__Projects__/amlak/file/migrations/0015_rename_tags_sell_tag_manager.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 1, 6, 19
"/home/ali4mini/__Projects__/amlak/file/migrations/0016_rename_tags_rent_tags_manager_rent_added_by_and_more.py", "Python", 0, 23, 0, 0, 0, 0, 0, 0, 1, 6, 30
"/home/ali4mini/__Projects__/amlak/file/migrations/0017_alter_rent_added_by_alter_sell_added_by.py", "Python", 0, 18, 0, 0, 0, 0, 0, 0, 1, 6, 25
"/home/ali4mini/__Projects__/amlak/file/migrations/0018_comment.py", "Python", 0, 24, 0, 0, 0, 0, 0, 0, 1, 6, 31
"/home/ali4mini/__Projects__/amlak/file/migrations/0019_alter_comment_body.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 1, 6, 19
"/home/ali4mini/__Projects__/amlak/file/migrations/0020_alter_comment_user.py", "Python", 0, 13, 0, 0, 0, 0, 0, 0, 1, 6, 20
"/home/ali4mini/__Projects__/amlak/file/migrations/0021_alter_comment_user_alter_rent_added_by_and_more.py", "Python", 0, 24, 0, 0, 0, 0, 0, 0, 1, 6, 31
"/home/ali4mini/__Projects__/amlak/file/migrations/0022_alter_rent_added_by_alter_sell_added_by.py", "Python", 0, 20, 0, 0, 0, 0, 0, 0, 1, 6, 27
"/home/ali4mini/__Projects__/amlak/file/migrations/0023_alter_comment_user.py", "Python", 0, 15, 0, 0, 0, 0, 0, 0, 1, 6, 22
"/home/ali4mini/__Projects__/amlak/file/migrations/0024_alter_comment_file.py", "Python", 0, 13, 0, 0, 0, 0, 0, 0, 1, 6, 20
"/home/ali4mini/__Projects__/amlak/file/migrations/0025_alter_comment_user.py", "Python", 0, 15, 0, 0, 0, 0, 0, 0, 1, 6, 22
"/home/ali4mini/__Projects__/amlak/file/migrations/0026_alter_comment_file.py", "Python", 0, 13, 0, 0, 0, 0, 0, 0, 1, 6, 20
